seed,family,tau,n,q,model,target,ISE,IAE,KL,p_hat,p_true,AE,RE
0,clayton,0.6,500,0.044721359549995794,Ordinary,c,26222.305430122917,0.16087247127367432,1.3672374080420335,,,,
0,clayton,0.6,500,0.044721359549995794,Tail,r,25680.377785922512,3.7642338129323396,15.199350164087084,,,,
0,clayton,0.6,500,0.044721359549995794,Tail,h,40820.44496563336,4.73348351358406,19.501576158190083,,,,
0,clayton,0.6,500,0.044721359549995794,Tail,c,25680.379707367967,0.1683416663739808,0.6797366498034126,,,,
0,clayton,0.6,500,0.044721359549995794,Ordinary,p,,,,0.03952312345829836,0.03549589574701596,0.004027227711282395,0.11345615109941135
0,clayton,0.6,500,0.044721359549995794,Tail,p,,,,0.038,0.03549589574701596,0.0025041042529840365,0.07054630402430538
0,clayton,0.6,1000,0.03162277660168379,Ordinary,r,26221.97870609067,3.594337601078247,30.33452000774294,,,,
0,clayton,0.6,1000,0.03162277660168379,Ordinary,h,41625.559894105616,4.530312462824394,38.97482968848927,,,,
0,clayton,0.6,1000,0.03162277660168379,Ordinary,c,26221.98066805954,0.11366294349436548,0.9592618212983136,,,,
0,clayton,0.6,1000,0.03162277660168379,Tail,r,26084.64164037498,3.6547832586804296,19.815522680092094,,,,
0,clayton,0.6,1000,0.03162277660168379,Tail,h,41429.84141665413,4.589723749014623,25.531024409263555,,,,
0,clayton,0.6,1000,0.03162277660168379,Tail,c,26084.643592068074,0.11557440316427947,0.6269878820952353,,,,
0,clayton,0.6,1000,0.03162277660168379,Ordinary,p,,,,0.029057557588019794,0.025099146706649512,0.003958410881370281,0.1577109743066118
0,clayton,0.6,1000,0.03162277660168379,Tail,p,,,,0.028,0.025099146706649512,0.002900853293350488,0.1155757734418105
0,clayton,0.6,5000,0.01414213562373095,Ordinary,r,26167.651815173303,3.4892815750493074,22.41616826413996,,,,
0,clayton,0.6,5000,0.01414213562373095,Ordinary,h,41542.65346704342,4.4025687786761845,28.474731564587923,,,,
0,clayton,0.6,5000,0.01414213562373095,Ordinary,c,26167.651093464145,0.0493458919027631,0.31701248301534607,,,,
0,clayton,0.6,5000,0.01414213562373095,Tail,r,7973.707547200231,2.2662105781146784,2.772759412259684,,,,
0,clayton,0.6,5000,0.01414213562373095,Tail,h,13331.917686318748,2.914116392447593,3.6632575253979556,,,,
0,clayton,0.6,5000,0.01414213562373095,Tail,c,7973.707327283753,0.032049056463711985,0.0392128032247135,,,,
0,clayton,0.6,5000,0.01414213562373095,Ordinary,p,,,,0.011740945933378185,0.01122462577443556,0.0005163201589426254,0.045998875091102
0,clayton,0.6,5000,0.01414213562373095,Tail,p,,,,0.0116,0.01122462577443556,0.0003753742255644399,0.03344202587309116
0,clayton,0.9,100,0.1,Ordinary,r,748721.7860555402,18.851433209985554,50.65630438812766,,,,
0,clayton,0.9,100,0.1,Ordinary,h,890757.1493271589,20.32315003873041,73.80611630185065,,,,
0,clayton,0.9,100,0.1,Ordinary,c,748721.7500715577,1.8851432303975257,5.065630195355895,,,,
0,clayton,0.9,100,0.1,Tail,r,822875.6082411422,22.03850094741139,69.19397888558491,,,,
0,clayton,0.9,100,0.1,Tail,h,901535.9380550215,22.313760375167,78.19777856670719,,,,
0,clayton,0.9,100,0.1,Tail,c,822875.5686932862,2.2038499888228857,6.919516592401769,,,,
0,clayton,0.9,100,0.1,Ordinary,p,,,,0.26487788532402656,0.09622238368941452,0.16865550163461204,1.752767860947992
0,clayton,0.9,100,0.1,Tail,p,,,,0.13,0.09622238368941452,0.033777616310585484,0.35103699384139636
0,clayton,0.9,500,0.044721359549995794,Ordinary,r,869480.9988158674,20.032822523543455,169.46067549069207,,,,
0,clayton,0.9,500,0.044721359549995794,Ordinary,h,939121.3260944126,20.79630357041259,178.49019388481034,,,,
0,clayton,0.9,500,0.044721359549995794,Ordinary,c,869481.0638717762,0.8958951259088903,7.578512365240367,,,,
0,clayton,0.9,500,0.044721359549995794,Tail,r,863408.1268452434,19.7577388173066,107.7198048725787,,,,
0,clayton,0.9,500,0.044721359549995794,Tail,h,932972.7264504376,20.520276595332522,113.3424670906238,,,,
0,clayton,0.9,500,0.044721359549995794,Tail,c,863408.1914467706,0.883593007655463,4.818179654131692,,,,
0,clayton,0.9,500,0.044721359549995794,Ordinary,p,,,,0.04821499107737445,0.04303195817731957,0.005183032900054882,0.12044613165632448
0,clayton,0.9,500,0.044721359549995794,Tail,p,,,,0.046,0.04303195817731957,0.0029680418226804284,0.06897296679946963
0,clayton,0.9,1000,0.03162277660168379,Ordinary,r,869539.7581161109,20.03564578470937,174.4418294519905,,,,
0,clayton,0.9,1000,0.03162277660168379,Ordinary,h,939187.9483547212,20.78447714217478,184.7663584099961,,,,
0,clayton,0.9,1000,0.03162277660168379,Ordinary,c,869539.8231764156,0.6335827981259701,5.516335415490022,,,,
0,clayton,0.9,1000,0.03162277660168379,Tail,r,859863.8676665607,19.644408715412418,99.27085835134399,,,,
0,clayton,0.9,1000,0.03162277660168379,Tail,h,929533.3332311406,20.41189846956771,104.86312844833489,,,,
0,clayton,0.9,1000,0.03162277660168379,Tail,c,859863.9320029004,0.621210794759603,3.1406165088212425,,,,
0,clayton,0.9,1000,0.03162277660168379,Ordinary,p,,,,0.03593485880299764,0.03042818943491857,0.0055066693680790695,0.18097262671040704
0,clayton,0.9,1000,0.03162277660168379,Tail,p,,,,0.033,0.03042818943491857,0.0025718105650814303,0.08452065708944514
0,clayton,0.9,5000,0.01414213562373095,Ordinary,r,854926.6139007808,19.7051916235796,91.13713845630258,,,,
0,clayton,0.9,5000,0.01414213562373095,Ordinary,h,926487.7710507078,20.501459953379868,99.26009475997134,,,,
0,clayton,0.9,5000,0.01414213562373095,Ordinary,c,854926.5903217309,0.27867348474639825,1.2888737368603778,,,,
